Date,Time,PAR_rcb,PAR_greenup
8/24/18,8:30:00 PM,9,
8/24/18,8:45:00 PM,7,
8/24/18,9:00:00 PM,9,
8/24/18,9:15:00 PM,9,
8/24/18,9:30:00 PM,9,
8/24/18,9:45:00 PM,9,
8/24/18,10:00:00 PM,9,
8/24/18,10:15:00 PM,9,
8/24/18,10:30:00 PM,9,
8/24/18,10:45:00 PM,9,
8/24/18,11:00:00 PM,6,
8/24/18,11:15:00 PM,7,
8/24/18,11:30:00 PM,9,
8/24/18,11:45:00 PM,9,
8/25/18,12:00:00 AM,7,
8/25/18,12:15:00 AM,9,
8/25/18,12:30:00 AM,7,
8/25/18,12:45:00 AM,9,
8/25/18,1:00:00 AM,9,
8/25/18,1:15:00 AM,9,
8/25/18,1:30:00 AM,9,
8/25/18,1:45:00 AM,7,
8/25/18,2:00:00 AM,9,
8/25/18,2:15:00 AM,9,
8/25/18,2:30:00 AM,9,
8/25/18,2:45:00 AM,7,
8/25/18,3:00:00 AM,9,
8/25/18,3:15:00 AM,10,
8/25/18,3:30:00 AM,9,
8/25/18,3:45:00 AM,7,
8/25/18,4:00:00 AM,7,
8/25/18,4:15:00 AM,10,
8/25/18,4:30:00 AM,10,
8/25/18,4:45:00 AM,9,
8/25/18,5:00:00 AM,9,
8/25/18,5:15:00 AM,10,
8/25/18,5:30:00 AM,10,
8/25/18,5:45:00 AM,9,
8/25/18,6:00:00 AM,7,
8/25/18,6:15:00 AM,9,
8/25/18,6:30:00 AM,10,
8/25/18,6:45:00 AM,10,
8/25/18,7:00:00 AM,21,
8/25/18,7:15:00 AM,50,
8/25/18,7:30:00 AM,87,
8/25/18,7:45:00 AM,141,
8/25/18,8:00:00 AM,139,
8/25/18,8:15:00 AM,195,
8/25/18,8:30:00 AM,226,
8/25/18,8:45:00 AM,269,
8/25/18,9:00:00 AM,333,
8/25/18,9:15:00 AM,655,
8/25/18,9:30:00 AM,354,
8/25/18,9:45:00 AM,417,
8/25/18,10:00:00 AM,595,
8/25/18,10:15:00 AM,650,
8/25/18,10:30:00 AM,922,
8/25/18,10:45:00 AM,1383,
8/25/18,11:00:00 AM,678,
8/25/18,11:15:00 AM,550,
8/25/18,11:30:00 AM,1095,
8/25/18,11:45:00 AM,864,
8/25/18,12:00:00 PM,1514,
8/25/18,12:15:00 PM,1909,
8/25/18,12:30:00 PM,925,
8/25/18,12:45:00 PM,867,
8/25/18,1:00:00 PM,907,
8/25/18,1:15:00 PM,616,
8/25/18,1:30:00 PM,241,
8/25/18,1:45:00 PM,663,
8/25/18,2:00:00 PM,460,
8/25/18,2:15:00 PM,364,
8/25/18,2:30:00 PM,367,
8/25/18,2:45:00 PM,401,
8/25/18,3:00:00 PM,337,
8/25/18,3:15:00 PM,173,
8/25/18,3:30:00 PM,263,
8/25/18,3:45:00 PM,234,
8/25/18,4:00:00 PM,253,
8/25/18,4:15:00 PM,294,
8/25/18,4:30:00 PM,719,
8/25/18,4:45:00 PM,482,
8/25/18,5:00:00 PM,244,
8/25/18,5:15:00 PM,321,
8/25/18,5:30:00 PM,913,
8/25/18,5:45:00 PM,715,
8/25/18,6:00:00 PM,413,
8/25/18,6:15:00 PM,232,
8/25/18,6:30:00 PM,442,
